Week,weeks,ynet,haaretz,walla
01/12/2013,1,34,0,20
08/12/2013,2,42,1,23
15/12/2013,3,36,1,22
22/12/2013,4,34,0,23
29/12/2013,5,34,1,22
05/01/2014,6,34,1,22
12/01/2014,7,33,1,22
19/01/2014,8,34,0,21
26/01/2014,9,30,0,21
02/02/2014,10,30,1,20
09/02/2014,11,31,1,21
16/02/2014,12,31,0,21
23/02/2014,13,31,1,21
02/03/2014,14,33,1,21
09/03/2014,15,37,1,22
16/03/2014,16,35,1,20
23/03/2014,17,33,1,20
30/03/2014,18,33,1,20
06/04/2014,19,29,1,19
13/04/2014,20,30,0,17
20/04/2014,21,29,1,18
27/04/2014,22,31,0,19
04/05/2014,23,31,1,18
11/05/2014,24,32,1,19
18/05/2014,25,32,1,20
25/05/2014,26,30,0,20
01/06/2014,27,29,1,19
08/06/2014,28,38,1,22
15/06/2014,29,47,1,22
22/06/2014,30,38,1,20
29/06/2014,31,52,1,23
06/07/2014,32,94,2,27
13/07/2014,33,94,2,26
20/07/2014,34,100,2,29
27/07/2014,35,85,1,27
03/08/2014,36,65,1,23
10/08/2014,37,50,1,21
17/08/2014,38,60,1,23
24/08/2014,39,53,1,22
31/08/2014,40,40,1,22
07/09/2014,41,36,1,20
14/09/2014,42,37,1,20
21/09/2014,43,34,1,19
28/09/2014,44,34,1,20
05/10/2014,45,32,1,19
12/10/2014,46,31,0,17
19/10/2014,47,36,1,20
26/10/2014,48,34,1,20
02/11/2014,49,41,1,20
09/11/2014,50,42,1,21
16/11/2014,51,43,1,21
23/11/2014,52,35,1,19
30/11/2014,53,37,1,20
07/12/2014,54,34,1,19
14/12/2014,55,36,0,18
21/12/2014,56,35,1,18
28/12/2014,57,34,1,18
04/01/2015,58,46,1,20
11/01/2015,59,36,1,19
18/01/2015,60,42,1,20
25/01/2015,61,47,1,21
01/02/2015,62,38,1,19
08/02/2015,63,35,1,19
15/02/2015,64,39,1,19
22/02/2015,65,34,1,18
01/03/2015,66,34,1,17
08/03/2015,67,31,1,19
15/03/2015,68,44,1,19
22/03/2015,69,34,1,18
29/03/2015,70,34,1,16
05/04/2015,71,30,0,15
12/04/2015,72,32,1,18
19/04/2015,73,34,1,18
26/04/2015,74,36,0,19
03/05/2015,75,36,1,19
10/05/2015,76,32,0,18
17/05/2015,77,33,1,18
24/05/2015,78,35,0,18
31/05/2015,79,35,1,19
07/06/2015,80,34,0,18
14/06/2015,81,33,0,18
21/06/2015,82,35,1,17
28/06/2015,83,33,0,16
05/07/2015,84,32,0,17
12/07/2015,85,30,0,16
19/07/2015,86,30,0,17
26/07/2015,87,33,0,17
02/08/2015,88,33,0,17
09/08/2015,89,29,0,16
16/08/2015,90,33,0,16
23/08/2015,91,31,0,17
30/08/2015,92,31,0,18
06/09/2015,93,32,0,17
13/09/2015,94,31,0,16
20/09/2015,95,34,0,16
27/09/2015,96,35,0,15
04/10/2015,97,55,1,18
11/10/2015,98,73,1,21
18/10/2015,99,48,1,18
25/10/2015,100,42,1,18
01/11/2015,101,38,0,17
08/11/2015,102,41,1,18
15/11/2015,103,44,1,18
22/11/2015,104,42,0,19
29/11/2015,105,36,0,17
06/12/2015,106,33,0,16
13/12/2015,107,34,1,17
20/12/2015,108,41,0,17
27/12/2015,109,42,1,17
03/01/2016,110,44,1,18
10/01/2016,111,33,0,17
17/01/2016,112,33,0,17
24/01/2016,113,36,0,17
31/01/2016,114,32,0,17
07/02/2016,115,30,0,16
14/02/2016,116,32,0,17
21/02/2016,117,30,0,16
28/02/2016,118,29,0,16
06/03/2016,119,34,0,17
13/03/2016,120,33,0,17
20/03/2016,121,39,0,17
27/03/2016,122,34,0,17
03/04/2016,123,33,0,17
10/04/2016,124,31,0,17
17/04/2016,125,37,0,16
24/04/2016,126,29,0,13
01/05/2016,127,33,0,17
08/05/2016,128,31,0,16
15/05/2016,129,34,1,16
22/05/2016,130,32,0,16
29/05/2016,131,30,0,17
05/06/2016,132,38,0,17
12/06/2016,133,33,0,16
19/06/2016,134,32,0,16
26/06/2016,135,36,0,17
03/07/2016,136,33,0,16
10/07/2016,137,35,0,16
17/07/2016,138,36,0,16
24/07/2016,139,33,0,15
31/07/2016,140,32,0,14
07/08/2016,141,33,0,14
14/08/2016,142,31,0,14
21/08/2016,143,32,0,15
28/08/2016,144,30,0,15
04/09/2016,145,37,0,16
11/09/2016,146,36,0,16
18/09/2016,147,33,0,15
25/09/2016,148,36,0,16
02/10/2016,149,31,0,13
09/10/2016,150,32,0,13
16/10/2016,151,28,0,12
23/10/2016,152,29,0,13
30/10/2016,153,31,0,15
06/11/2016,154,38,0,16
13/11/2016,155,30,0,15
20/11/2016,156,50,0,17
27/11/2016,157,34,0,16
04/12/2016,158,31,0,14
11/12/2016,159,32,0,14
18/12/2016,160,37,0,14
25/12/2016,161,35,0,13
01/01/2017,162,42,0,14
08/01/2017,163,38,0,15
15/01/2017,164,34,0,15
22/01/2017,165,33,0,15
29/01/2017,166,33,0,14
05/02/2017,167,30,0,14
12/02/2017,168,30,0,14
19/02/2017,169,29,0,14
26/02/2017,170,27,0,14
05/03/2017,171,26,0,13
12/03/2017,172,29,0,14
19/03/2017,173,29,0,15
26/03/2017,174,27,0,14
02/04/2017,175,29,0,13
09/04/2017,176,32,0,13
16/04/2017,177,30,0,13
23/04/2017,178,31,0,15
30/04/2017,179,28,0,13
07/05/2017,180,29,0,14
14/05/2017,181,29,0,15
21/05/2017,182,35,0,15
28/05/2017,183,26,0,12
04/06/2017,184,29,0,14
11/06/2017,185,30,0,14
18/06/2017,186,28,0,14
25/06/2017,187,28,0,13
02/07/2017,188,27,0,13
09/07/2017,189,31,0,14
16/07/2017,190,37,0,14
23/07/2017,191,43,0,14
30/07/2017,192,34,0,13
06/08/2017,193,32,0,13
13/08/2017,194,39,0,13
20/08/2017,195,30,0,12
27/08/2017,196,29,0,12
03/09/2017,197,32,0,14
10/09/2017,198,33,0,13
17/09/2017,199,30,0,12
24/09/2017,200,34,0,13
01/10/2017,201,34,0,12
08/10/2017,202,28,0,10
15/10/2017,203,30,0,12
22/10/2017,204,29,0,13
29/10/2017,205,31,0,13
05/11/2017,206,30,0,13
12/11/2017,207,30,0,12
19/11/2017,208,29,0,12
26/11/2017,209,30,0,13
03/12/2017,210,35,0,14
10/12/2017,211,35,0,13
17/12/2017,212,31,0,13
24/12/2017,213,30,0,13
31/12/2017,214,31,0,13
07/01/2018,215,29,0,13
14/01/2018,216,28,0,12
21/01/2018,217,29,0,12
28/01/2018,218,28,0,13
04/02/2018,219,35,0,12
11/02/2018,220,35,0,13
18/02/2018,221,33,0,12
25/02/2018,222,31,0,12
04/03/2018,223,29,0,11
11/03/2018,224,30,0,12
18/03/2018,225,29,0,11
25/03/2018,226,34,0,11
01/04/2018,227,30,0,10
08/04/2018,228,33,0,12
15/04/2018,229,33,0,12
22/04/2018,230,41,0,12
29/04/2018,231,38,0,12
06/05/2018,232,47,0,14
13/05/2018,233,47,0,13
20/05/2018,234,34,0,12
27/05/2018,235,41,0,13
03/06/2018,236,36,0,13
10/06/2018,237,32,0,11
17/06/2018,238,32,0,12
24/06/2018,239,30,0,11
01/07/2018,240,30,0,11
08/07/2018,241,37,0,11
15/07/2018,242,38,0,11
22/07/2018,243,41,0,11
29/07/2018,244,34,0,12
05/08/2018,245,39,0,11
12/08/2018,246,33,0,11
19/08/2018,247,30,0,10
26/08/2018,248,30,0,11
02/09/2018,249,30,0,11
09/09/2018,250,30,0,10
16/09/2018,251,30,0,10
23/09/2018,252,30,0,9
30/09/2018,253,32,0,10
07/10/2018,254,37,0,11
14/10/2018,255,39,0,11
21/10/2018,256,38,0,11
28/10/2018,257,42,0,11
04/11/2018,258,36,0,11
11/11/2018,259,61,0,12
18/11/2018,260,38,0,11
